Document_ID,cleansentence,,,,,,,,,,,,,,,,,,,,,,,,,,Sentiment
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,concept maximum entropy traced back along multiple thread biblical time recently however computer become powerful enough permit widescale application concept real world problem statistical estimation pattern recognition paper de,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
2,scaling conditional random field natural language processing term condition term condition copyright work deposited minerva access retained,,,,,,,,,,,,,,,,,, ,,,,,,,,Neutral
3,paper address issue cooperation linguistics natural language processing nlp general linguistics machine translation mt particular focus one direction cooperation namely application linguistics nlp virtually ignoring,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
4,natural language processing application description logic used encode knowledge base syntactic semantic pragmatic element needed drive semantic interpretation natural language generation process recently description logic u,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
5,propose unified neural network architecture learning algorithm applied various natural language processing task including partofspeech tagging chunking named entity recognition semantic role labeling versatility achieved trying avoid taskspecific eng,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
6,natural language processing subject natural language processing considered broad narrow sens broad sense cover processing issue level natural language understanding including speech recognition syntactic semantic analysis sentence refer,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
7,robot interact human facetoface using natural language need responsive way human use language situation propose psychologicallyinspired natural language processing system robot performs incremental semantic interpretation spoken utterance,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
8,natural language language spoken human currently yet point language unprocessed form understood computer natural language processing collection technique employed try accomplish goal field natural l,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
9,abstract ambiguity referred ability one meaning understood one way natural language ambiguous computer able understand language way people natural language processing nlp concerned development co,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
10,introduction statistical natural language processing snlp field lying intersection natural language processing machine learning snlp diers traditional natural language processing instead linguist manually construct model given linguistic,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
11,paper summarizes essential property document retrieval review conventional practice research finding latter suggesting simple statistical technique effective considers new opportunity challenge presented ability search full,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
12,abstract language way communicating word language help understanding worldwe get better insight world language help speaker vague precise like nlp stand natural language processing natural language language spoken,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
